patch_index,log_spectral_distance_db,spectral_convergence,normalized_rms_difference
179,8.975263980733782e-06,4.812705535479891e-08,0.0
180,5.7968690885445465e-06,4.9664312078035505e-08,0.0
181,7.364775595291207e-05,5.635617713981192e-08,0.0
182,2.5886191015305894e-05,5.08865298438194e-08,0.0
183,4.4275511730041336e-05,4.8633481979173145e-08,0.0
184,6.558957435884991,0.8569815092308898,1.3183107675838097
185,4.7450955348715794e-05,5.085555771720146e-08,0.0
187,4.354242176464448e-05,4.956272293773862e-08,0.0
188,7.970204010309518e-05,5.1612054322189055e-08,0.0
189,1.7849332319061295e-05,5.310605778122226e-08,0.0
190,10.787161410996681,1.406822598169936,1.4142097153027728
191,3.5523403076574124e-05,5.2626621388618267e-08,0.0
192,7.45373692211466,0.9680238144986417,1.4487013855418802
193,9.702305845560125e-05,5.206337200226919e-08,0.0
194,6.28848141517359e-05,4.574580287058843e-08,0.0
195,3.595287972752215e-05,5.651060792468302e-08,0.0
196,7.11739338545166e-05,5.2242931445569216e-08,0.0
197,4.033152589223456e-05,5.5205495096891675e-08,0.0
198,0.0001722935788633812,4.802622661522225e-08,0.0
200,9.769229039420075,1.3697733510723304,1.4220213992987547
201,3.1215442157489494e-05,4.924218339958736e-08,0.0
202,3.560616539377352e-05,4.85052247501863e-08,0.0
203,3.674442140001547e-05,5.266164406606685e-08,0.0
204,7.03994915431535e-05,5.3011540691870266e-08,0.0
205,3.065489272780713e-05,5.1948742155061254e-08,0.0
206,0.0003334488140087918,5.0576281985077086e-08,0.0
208,4.5012716308826424e-05,5.020471406914572e-08,0.0
209,6.702861685692815,1.0679321212247537,1.4495792580752085
210,3.594644472306329e-05,5.151806192270126e-08,0.0
211,5.044710080216733e-06,5.5456034636406004e-08,0.0
212,3.992585890325904e-05,6.391563489200243e-08,0.0
213,0.0005534971579132079,4.62633772052846e-08,0.0
214,0.0007255781379447593,4.848624154537614e-08,0.0
215,0.0005047874533723903,5.350339460993207e-08,0.0
217,6.9704389309668235e-06,5.0628868727033856e-08,0.0
219,3.209166826565694e-05,5.1797905221777185e-08,0.0
221,7.0434286659147e-05,4.8207056036503944e-08,0.0
223,6.290888762706208e-05,5.033641765704698e-08,0.0
224,0.00012537161565965405,5.288581473774563e-08,0.0
225,1.4874210873385335e-05,5.002895908965073e-08,0.0
226,0.0002505254719136397,5.076603985554045e-08,0.0
227,0.0004968757619009712,5.0036780059652715e-08,0.0
228,4.843391336327777e-05,4.67865224184313e-08,0.0
229,5.250411815795154e-05,4.623210232425451e-08,0.0
230,0.0003539789087422393,5.206901720297858e-08,0.0
231,4.3306538965445294e-05,4.551940423523738e-08,0.0
232,2.0715351688774203e-05,5.0367096381081176e-08,0.0
234,7.621963665003515e-05,5.025254190711314e-08,0.0
235,9.919693190021312e-06,4.8691752741938774e-08,0.0
236,9.412723756960084e-06,4.887268077478493e-08,0.0
237,8.531188577061901e-05,5.178131875586841e-08,0.0
238,4.031626905067179e-05,5.305414176627165e-08,0.0
239,2.858671437657393e-05,5.170619209946918e-08,0.0
240,0.000265243369852972,4.8789739660528834e-08,0.0
